freqs [eV],Lambda [1/ps]
0.000000,0.087191
0.002500,0.091349
0.005000,0.103840
0.007500,0.124698
0.010000,0.153949
0.012500,0.191535
0.015000,0.237188
0.017500,0.290223
0.020000,0.349304
0.022500,0.412261
0.025000,0.476131
0.027500,0.537539
0.030000,0.593442
0.032500,0.642049
0.035000,0.683569
0.037500,0.720454
0.040000,0.756922
0.042500,0.797875
0.045000,0.847564
0.047500,0.908450
0.050000,0.980647
0.052500,1.062038
0.055000,1.148941
0.057500,1.237025
0.060000,1.322145
0.062500,1.400944
0.065000,1.471190
0.067500,1.532035
0.070000,1.584357
0.072500,1.631212
0.075000,1.678175
0.077500,1.733126
0.080000,1.805113
0.082500,1.902222
0.085000,2.028928
0.087500,2.183814
0.090000,2.358666
0.092500,2.539484
0.095000,2.709243
0.097500,2.851522
0.100000,2.953794
0.102500,3.009406
0.105000,3.017880
0.107500,2.983852
0.110000,2.915287
0.112500,2.821683
0.115000,2.712687
0.117500,2.597261
0.120000,2.483259
0.122500,2.377214
0.125000,2.284124
0.127500,2.207205
0.130000,2.147766
0.132500,2.105435
0.135000,2.078819
0.137500,2.066425
0.140000,2.067376
0.142500,2.081468
0.145000,2.108458
0.147500,2.146931
0.150000,2.193453
0.152500,2.242629
0.155000,2.288201
0.157500,2.324773
0.160000,2.349356
0.162500,2.362050
0.165000,2.365588
0.167500,2.364043
0.170000,2.361278
0.172500,2.359784
0.175000,2.360246
0.177500,2.361836
0.180000,2.362981
0.182500,2.362234
0.185000,2.358938
0.187500,2.353501
0.190000,2.347254
0.192500,2.341960
0.195000,2.339138
0.197500,2.339394
0.200000,2.341984
0.202500,2.344803
0.205000,2.344844
0.207500,2.339006
0.210000,2.324920
0.212500,2.301463
0.215000,2.268771
0.217500,2.227887
0.220000,2.180354
0.222500,2.128065
0.225000,2.073458
0.227500,2.019814
0.230000,1.971301
0.232500,1.932541
0.235000,1.907761
0.237500,1.899907
0.240000,1.910127
0.242500,1.937891
0.245000,1.981692
0.247500,2.040012
0.250000,2.112111
0.252500,2.198286
0.255000,2.299389
0.257500,2.415687
0.260000,2.545365
0.262500,2.683215
0.265000,2.820129
0.267500,2.943869
0.270000,3.041181
0.272500,3.100786
0.275000,3.116279
0.277500,3.087897
0.280000,3.022407
0.282500,2.931100
0.285000,2.826614
0.287500,2.719748
0.290000,2.617406
0.292500,2.522265
0.295000,2.434022
0.297500,2.351460
0.300000,2.274325
0.302500,2.204269
0.305000,2.144617
0.307500,2.099248
0.310000,2.071190
0.312500,2.061485
0.315000,2.068669
0.317500,2.088971
0.320000,2.117073
0.322500,2.147203
0.325000,2.174218
0.327500,2.194368
0.330000,2.205550
0.332500,2.207099
0.335000,2.199428
0.337500,2.183888
0.340000,2.163044
0.342500,2.141198
0.345000,2.124680
0.347500,2.121391
0.350000,2.139464
0.352500,2.185425
0.355000,2.262589
0.357500,2.370372
0.360000,2.504689
0.362500,2.658960
0.365000,2.824967
0.367500,2.993053
0.370000,3.151818
0.372500,3.288129
0.375000,3.388309
0.377500,3.440707
0.380000,3.438885
0.382500,3.383994
0.385000,3.285053
0.387500,3.156808
0.390000,3.016038
0.392500,2.877817
0.395000,2.753088
0.397500,2.648084
0.400000,2.565185
0.402500,2.504352
0.405000,2.464396
0.407500,2.443754
0.410000,2.440881
0.412500,2.454449
0.415000,2.483442
