No of components        3
Discretization length in eV   0.0100
Number of Bins      201
Excitation energy in eV   Re(Coupling element)   Im(Coupling element) in 1/ps
============================================================================
Friction component for    1   1
   0.000000E+000        0.654827E-001   0.000000E+000
   0.100000E-001        0.107313E+000   0.000000E+000
   0.200000E-001        0.233257E+000   0.000000E+000
   0.300000E-001        0.413305E+000   0.000000E+000
   0.400000E-001        0.576519E+000   0.000000E+000
   0.500000E-001        0.786029E+000   0.000000E+000
   0.600000E-001        0.105918E+001   0.000000E+000
   0.700000E-001        0.127078E+001   0.000000E+000
   0.800000E-001        0.155888E+001   0.000000E+000
   0.900000E-001        0.216306E+001   0.000000E+000
   0.100000E+000        0.274846E+001   0.000000E+000
   0.110000E+000        0.269270E+001   0.000000E+000
   0.120000E+000        0.233748E+001   0.000000E+000
   0.130000E+000        0.218863E+001   0.000000E+000
   0.140000E+000        0.217263E+001   0.000000E+000
   0.150000E+000        0.228729E+001   0.000000E+000
   0.160000E+000        0.246038E+001   0.000000E+000
   0.170000E+000        0.231579E+001   0.000000E+000
   0.180000E+000        0.216754E+001   0.000000E+000
   0.190000E+000        0.217436E+001   0.000000E+000
   0.200000E+000        0.216456E+001   0.000000E+000
   0.210000E+000        0.203675E+001   0.000000E+000
   0.220000E+000        0.188158E+001   0.000000E+000
   0.230000E+000        0.183283E+001   0.000000E+000
   0.240000E+000        0.188072E+001   0.000000E+000
   0.250000E+000        0.202902E+001   0.000000E+000
   0.260000E+000        0.229102E+001   0.000000E+000
   0.270000E+000        0.248187E+001   0.000000E+000
   0.280000E+000        0.245699E+001   0.000000E+000
   0.290000E+000        0.249843E+001   0.000000E+000
   0.300000E+000        0.249783E+001   0.000000E+000
   0.310000E+000        0.222011E+001   0.000000E+000
   0.320000E+000        0.201968E+001   0.000000E+000
   0.330000E+000        0.217255E+001   0.000000E+000
   0.340000E+000        0.237879E+001   0.000000E+000
   0.350000E+000        0.226310E+001   0.000000E+000
   0.360000E+000        0.241679E+001   0.000000E+000
   0.370000E+000        0.289266E+001   0.000000E+000
   0.380000E+000        0.304554E+001   0.000000E+000
   0.390000E+000        0.303372E+001   0.000000E+000
   0.400000E+000        0.290226E+001   0.000000E+000
   0.410000E+000        0.245193E+001   0.000000E+000
   0.420000E+000        0.228226E+001   0.000000E+000
   0.430000E+000        0.252839E+001   0.000000E+000
   0.440000E+000        0.276050E+001   0.000000E+000
   0.450000E+000        0.283100E+001   0.000000E+000
   0.460000E+000        0.292145E+001   0.000000E+000
   0.470000E+000        0.292499E+001   0.000000E+000
   0.480000E+000        0.279148E+001   0.000000E+000
   0.490000E+000        0.262553E+001   0.000000E+000
   0.500000E+000        0.241643E+001   0.000000E+000
   0.510000E+000        0.224729E+001   0.000000E+000
   0.520000E+000        0.235441E+001   0.000000E+000
   0.530000E+000        0.262450E+001   0.000000E+000
   0.540000E+000        0.303741E+001   0.000000E+000
   0.550000E+000        0.314390E+001   0.000000E+000
   0.560000E+000        0.288922E+001   0.000000E+000
   0.570000E+000        0.282634E+001   0.000000E+000
   0.580000E+000        0.258869E+001   0.000000E+000
   0.590000E+000        0.226640E+001   0.000000E+000
   0.600000E+000        0.218646E+001   0.000000E+000
   0.610000E+000        0.225480E+001   0.000000E+000
   0.620000E+000        0.226043E+001   0.000000E+000
   0.630000E+000        0.234524E+001   0.000000E+000
   0.640000E+000        0.292862E+001   0.000000E+000
   0.650000E+000        0.347053E+001   0.000000E+000
   0.660000E+000        0.338495E+001   0.000000E+000
   0.670000E+000        0.296917E+001   0.000000E+000
   0.680000E+000        0.275381E+001   0.000000E+000
   0.690000E+000        0.253108E+001   0.000000E+000
   0.700000E+000        0.233802E+001   0.000000E+000
   0.710000E+000        0.227733E+001   0.000000E+000
   0.720000E+000        0.221027E+001   0.000000E+000
   0.730000E+000        0.222173E+001   0.000000E+000
   0.740000E+000        0.232492E+001   0.000000E+000
