nmfreq,tauO,tauO,tauO,tauO,tauO,cO,cO,cO,cO,cO,omegaO,omegaO,omegaO,omegaO,omegaO
0,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
0.0000000e+00,1.6665116e+00,1.3374443e+00,7.9145313e-01,4.2499540e-01,4.2316451e-01,3.8938981e+00,2.6910578e+00,2.5349125e+00,5.7982889e-01,2.3770718e+00,1.9698691e+00,4.1622367e+00,6.2244836e+00,5.0902524e+01,8.8263824e+00
4.1855441e-01,2.5933904e+00,2.5266809e+00,8.1671167e-01,4.0771343e-01,7.9156453e-02,2.3442678e+00,3.5918525e+00,2.7838383e+00,2.6062561e+00,5.6720824e-01,4.0478072e+00,2.0543222e+00,5.9309943e+00,8.5784294e+00,5.0902462e+01
4.1864781e-01,2.2591186e+00,2.2083292e+00,2.0051765e+00,8.9867765e-01,4.3473504e-01,3.7342703e+00,2.6906240e+00,2.0584612e+00,1.9795351e+00,1.8362983e+00,2.0749498e+00,4.2048682e+00,6.1569009e+00,8.0959274e+00,1.0643773e+01
5.8579313e-01,2.8073285e+00,2.7293243e+00,2.1233043e+00,8.8628284e-01,4.2173464e-01,3.5601858e+00,2.6364932e+00,2.0922386e+00,2.0402265e+00,1.8992034e+00,2.1291723e+00,4.1743119e+00,6.0909775e+00,8.0217250e+00,1.0579873e+01
5.8597617e-01,2.8080602e+00,2.7300159e+00,2.1233262e+00,8.8626694e-01,4.2172180e-01,3.5599854e+00,2.6364207e+00,2.0923008e+00,2.0402802e+00,1.8992717e+00,2.1292346e+00,4.1742744e+00,6.0908972e+00,8.0216424e+00,1.0579785e+01
8.3610048e-01,9.8226665e+00,3.7923795e+00,2.5471738e+00,8.8178089e-01,4.0429005e-01,2.3339539e+00,3.3860167e+00,2.1610756e+00,2.1495766e+00,2.0122436e+00,4.1727197e+00,2.2537912e+00,5.9640401e+00,7.8811765e+00,1.0450424e+01
8.3684733e-01,9.8185325e+00,3.7975285e+00,2.5474098e+00,8.8172930e-01,4.0426731e-01,2.3341948e+00,3.3850420e+00,2.1610592e+00,2.1497048e+00,2.0123439e+00,4.1726808e+00,2.2540495e+00,5.9640186e+00,7.8811007e+00,1.0450380e+01
1.1690778e+00,9.8226631e+00,8.2859137e+00,2.6390467e+00,8.7235187e-01,3.9587184e-01,2.3943500e+00,2.9679785e+00,2.1612621e+00,2.1853008e+00,2.0566011e+00,4.1731162e+00,2.3833856e+00,5.9624571e+00,7.8619508e+00,1.0428944e+01
1.1705407e+00,9.8226574e+00,8.3255413e+00,2.6390777e+00,8.7243393e-01,3.9584068e-01,2.3945395e+00,2.9661789e+00,2.1613370e+00,2.1852322e+00,2.0568336e+00,4.1731891e+00,2.3839978e+00,5.9625390e+00,7.8620188e+00,1.0428828e+01
1.2516323e+00,9.8226948e+00,8.9297225e+00,6.1305654e+00,9.9631984e-01,3.9242973e-01,2.4676345e+00,2.9359512e+00,1.9196528e+00,2.1482311e+00,2.1683646e+00,4.2649924e+00,2.4428298e+00,6.0654936e+00,7.8482594e+00,1.0326112e+01
1.2525834e+00,9.8226948e+00,8.9297225e+00,6.2591412e+00,9.9878178e-01,3.9241406e-01,2.4686862e+00,2.9358631e+00,1.9160271e+00,2.1473036e+00,2.1700652e+00,4.2664726e+00,2.4436376e+00,6.0671189e+00,7.8482100e+00,1.0324507e+01
1.2541507e+00,9.8226948e+00,8.9297225e+00,6.4821368e+00,1.0028907e+00,3.9238894e-01,2.4704109e+00,2.9357166e+00,1.9100968e+00,2.1457283e+00,2.1728693e+00,4.2689135e+00,2.4449700e+00,6.0698015e+00,7.8481626e+00,1.0321868e+01
1.6641489e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.0101150e+00,4.3597676e-01,2.4701659e+00,2.7530257e+00,1.9799043e+00,1.6655738e+00,2.2210451e+00,4.5599650e+00,2.7417484e+00,6.4470420e+00,8.3374906e+00,1.0544294e+01
1.6701111e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.0123294e+00,4.3640483e-01,2.4690193e+00,2.7497457e+00,1.9795850e+00,1.6651647e+00,2.2197317e+00,4.5630020e+00,2.7460305e+00,6.4496250e+00,8.3400749e+00,1.0547786e+01
1.7473563e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.0278407e+00,4.4120684e-01,2.4531218e+00,2.7071913e+00,1.9739931e+00,1.6620435e+00,2.2042767e+00,4.6022857e+00,2.8022435e+00,6.4814643e+00,8.3702047e+00,1.0588747e+01
1.7522852e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.0274092e+00,4.4146179e-01,2.4520373e+00,2.7044745e+00,1.9735209e+00,1.6621197e+00,2.2033094e+00,4.6047886e+00,2.8058775e+00,6.4833800e+00,8.3719038e+00,1.0591227e+01
2.0726563e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.9187950e+00,4.5054918e-01,2.3717918e+00,2.5376264e+00,1.9284856e+00,1.6755457e+00,2.1536087e+00,4.7825817e+00,3.0579157e+00,6.6110704e+00,8.4713343e+00,1.0727334e+01
2.0842832e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.9127882e+00,4.5065554e-01,2.3686132e+00,2.5321267e+00,1.9263612e+00,1.6762146e+00,2.1520145e+00,4.7898658e+00,3.0677093e+00,6.6162441e+00,8.4750875e+00,1.0732085e+01
2.3181524e+00,9.8226948e+00,8.9297225e+00,8.1855787e+00,1.7809601e+00,4.4941290e-01,2.4104352e+00,2.3239804e+00,1.8751908e+00,1.6886893e+00,2.1233903e+00,3.2650271e+00,4.9412941e+00,6.7306400e+00,8.5560170e+00,1.0826337e+01
2.3298084e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.7743526e+00,4.4934173e-01,2.4062623e+00,2.3207257e+00,1.8724046e+00,1.6890840e+00,2.1215013e+00,3.2759304e+00,4.9506346e+00,6.7378973e+00,8.5614973e+00,1.0832443e+01
