nmfreq,tauO,cO,omegaO
0,0,0,0
0.0000000e+00,3.9290779e-01,7.9556745e+00,4.3326359e+00
4.1855441e-01,3.9290779e-01,7.8842247e+00,4.5740391e+00
4.1864781e-01,3.9290779e-01,7.8841900e+00,4.5740389e+00
5.8579313e-01,3.9290779e-01,7.8341129e+00,4.7289700e+00
5.8597617e-01,3.9290779e-01,7.8340398e+00,4.7290165e+00
8.3610048e-01,3.9290779e-01,7.7467233e+00,4.9804474e+00
8.3684733e-01,3.9290779e-01,7.7464468e+00,4.9812128e+00
1.1690778e+00,3.9290779e-01,7.6179700e+00,5.3224075e+00
1.1705407e+00,3.9290779e-01,7.6173872e+00,5.3239007e+00
1.2516323e+00,3.9290779e-01,7.5849312e+00,5.4063186e+00
1.2525834e+00,3.9290779e-01,7.5845589e+00,5.4074049e+00
1.2541507e+00,3.9290779e-01,7.5839293e+00,5.4089953e+00
1.6641489e+00,3.9290779e-01,7.4179541e+00,5.8177675e+00
1.6701111e+00,3.9290779e-01,7.4155380e+00,5.8236045e+00
1.7473563e+00,3.9290779e-01,7.3842611e+00,5.8988661e+00
1.7522852e+00,3.9290779e-01,7.3822747e+00,5.9037610e+00
2.0726563e+00,3.9290779e-01,7.2536163e+00,6.2114259e+00
2.0842832e+00,3.9290779e-01,7.2489926e+00,6.2225636e+00
2.3181524e+00,3.9290779e-01,7.1565998e+00,6.4431191e+00
2.3298084e+00,3.9290779e-01,7.1520325e+00,6.4540371e+00
2.4761706e+00,3.9290779e-01,7.0950053e+00,6.5906292e+00
2.4837347e+00,3.9290779e-01,7.0920746e+00,6.5976632e+00
2.4962233e+00,3.9290779e-01,7.0872354e+00,6.6091869e+00
2.8737195e+00,3.9290779e-01,6.9432492e+00,6.9575194e+00
2.8790217e+00,3.9290779e-01,6.9412574e+00,6.9623867e+00
2.9017189e+00,3.9290779e-01,6.9327391e+00,6.9831777e+00
2.9054904e+00,3.9290779e-01,6.9313251e+00,6.9866311e+00
3.2643454e+00,3.9290779e-01,6.7987486e+00,7.3134418e+00
3.3116462e+00,3.9290779e-01,6.7815660e+00,7.3563767e+00
3.4275627e+00,3.9290779e-01,6.7397354e+00,7.4612298e+00
3.4666388e+00,3.9290779e-01,6.7257234e+00,7.4964806e+00
3.6471072e+00,3.9290779e-01,6.6616067e+00,7.6591052e+00
3.6723886e+00,3.9290779e-01,6.6527042e+00,7.6819158e+00
3.7142559e+00,3.9290779e-01,6.6379992e+00,7.7195599e+00
3.9614263e+00,3.9290779e-01,6.5522339e+00,7.9412944e+00
4.0210828e+00,3.9290779e-01,6.5318003e+00,7.9946973e+00
4.0232073e+00,3.9290779e-01,6.5310746e+00,7.9965984e+00
4.1128882e+00,3.9290779e-01,6.5005561e+00,8.0768081e+00
4.3853713e+00,3.9290779e-01,6.4092428e+00,8.3201036e+00
4.4783265e+00,3.9290779e-01,6.3785736e+00,8.4029878e+00
4.5071163e+00,3.9290779e-01,6.3691241e+00,8.4286487e+00
4.5700836e+00,3.9290779e-01,6.3485374e+00,8.4847581e+00
4.7390950e+00,3.9290779e-01,6.2938248e+00,8.6352811e+00
4.7982069e+00,3.9290779e-01,6.2748751e+00,8.6879066e+00
4.8965181e+00,3.9290779e-01,6.2435708e+00,8.7754173e+00
4.9760498e+00,3.9290779e-01,6.2184389e+00,8.8462049e+00
5.0814018e+00,3.9290779e-01,6.1854110e+00,8.9399732e+00
5.1059501e+00,3.9290779e-01,6.1777579e+00,8.9618165e+00
5.2806766e+00,3.9290779e-01,6.1237510e+00,9.1173562e+00
5.4114671e+00,3.9290779e-01,6.0838528e+00,9.2338094e+00
5.4524648e+00,3.9290779e-01,6.0714385e+00,9.2703216e+00
5.6295160e+00,3.9290779e-01,6.0183273e+00,9.4280225e+00
5.6591804e+00,3.9290779e-01,6.0095087e+00,9.4545083e+00
5.7284957e+00,3.9290779e-01,5.9889887e+00,9.5163099e+00
5.8419266e+00,3.9290779e-01,5.9556729e+00,9.6174922e+00
5.9055316e+00,3.9290779e-01,5.9371339e+00,9.6742566e+00
6.0316242e+00,3.9290779e-01,5.9006815e+00,9.7868478e+00
6.0317238e+00,3.9290779e-01,5.9006529e+00,9.7869368e+00
6.1395198e+00,3.9290779e-01,5.8698035e+00,9.8832565e+00
6.3204210e+00,3.9290779e-01,5.8186735e+00,1.0045012e+01
6.3333100e+00,3.9290779e-01,5.8150616e+00,1.0056586e+01
6.3976092e+00,3.9290779e-01,5.7970998e+00,1.0114149e+01
6.5938918e+00,3.9290779e-01,5.7428823e+00,1.0290042e+01
6.6347330e+00,3.9290779e-01,5.7317160e+00,1.0326673e+01
6.7339682e+00,3.9290779e-01,5.7047480e+00,1.0415724e+01
6.7567435e+00,3.9290779e-01,5.6985911e+00,1.0436171e+01
6.7856893e+00,3.9290779e-01,5.6907836e+00,1.0462163e+01
6.8514772e+00,3.9290779e-01,5.6731109e+00,1.0521258e+01
7.0925569e+00,3.9290779e-01,5.6091982e+00,1.0738060e+01
