nmfreq,tauO,tauO,cO,cO,omegaO,omegaO
0,0,1,0,1,0,1
0.0000000e+00,1.7337767e+00,2.3873009e-01,3.2087178e+00,8.2081910e+00,2.0146295e+00,6.0981250e+00
4.1855441e-01,1.7743082e+00,2.4941319e-01,3.1869053e+00,8.0682880e+00,2.1141110e+00,6.2646069e+00
4.1864781e-01,1.7744271e+00,2.4941663e-01,3.1868238e+00,8.0682698e+00,2.1141322e+00,6.2646273e+00
5.8579313e-01,1.7830283e+00,2.5505487e-01,3.1567783e+00,7.9871999e+00,2.1997037e+00,6.3642232e+00
5.8597617e-01,1.7830295e+00,2.5506293e-01,3.1567656e+00,7.9870913e+00,2.1998241e+00,6.3643715e+00
8.3610048e-01,1.8462839e+00,2.6314671e-01,3.0659539e+00,7.8712941e+00,2.3553372e+00,6.5102007e+00
8.3684733e-01,1.8467378e+00,2.6316597e-01,3.0654866e+00,7.8710262e+00,2.3557781e+00,6.5105331e+00
1.1690778e+00,2.2195237e+00,2.7271259e-01,2.7910289e+00,7.7657698e+00,2.5233661e+00,6.6371420e+00
1.1705407e+00,2.2215877e+00,2.7275154e-01,2.7896867e+00,7.7653397e+00,2.5240609e+00,6.6376659e+00
1.2516323e+00,2.3247697e+00,2.7493576e-01,2.7210471e+00,7.7391222e+00,2.5647848e+00,6.6700390e+00
1.2525834e+00,2.3258141e+00,2.7496047e-01,2.7203001e+00,7.7388020e+00,2.5652920e+00,6.6704571e+00
1.2541507e+00,2.3274600e+00,2.7500237e-01,2.7191074e+00,7.7382401e+00,2.5661442e+00,6.6711511e+00
1.6641489e+00,2.0976578e+00,2.8587125e-01,2.6532852e+00,7.5116475e+00,2.9437984e+00,6.9951489e+00
1.6701111e+00,2.0994194e+00,2.8600011e-01,2.6507187e+00,7.5090397e+00,2.9491164e+00,6.9991842e+00
1.7473563e+00,2.1613696e+00,2.8762977e-01,2.6022068e+00,7.4805024e+00,3.0097739e+00,7.0431016e+00
1.7522852e+00,2.1674841e+00,2.8772503e-01,2.5983016e+00,7.4789852e+00,3.0132702e+00,7.0455026e+00
2.0726563e+00,6.9779976e-01,2.7981788e-01,4.3905712e+00,6.4421355e+00,4.5334881e+00,8.6750876e+00
2.0842832e+00,6.9721456e-01,2.7994284e-01,4.3927007e+00,6.4335973e+00,4.5483549e+00,8.6899021e+00
2.3181524e+00,6.9075230e-01,2.8267382e-01,4.4104461e+00,6.2793728e+00,4.8274160e+00,8.9643429e+00
2.3298084e+00,6.9060284e-01,2.8281034e-01,4.4104996e+00,6.2723210e+00,4.8406703e+00,8.9772764e+00
2.4761706e+00,6.8999080e-01,2.8454618e-01,4.4046847e+00,6.1888718e+00,5.0019695e+00,9.1333042e+00
2.4837347e+00,6.9000420e-01,2.8464215e-01,4.4042041e+00,6.1846827e+00,5.0100887e+00,9.1411213e+00
2.4962233e+00,6.9005327e-01,2.8478551e-01,4.4031243e+00,6.1780635e+00,5.0234444e+00,9.1539128e+00
2.8737195e+00,6.9137922e-01,2.8904188e-01,4.3663553e+00,5.9850390e+00,5.4173587e+00,9.5332524e+00
2.8790217e+00,6.9138882e-01,2.8909493e-01,4.3658092e+00,5.9824246e+00,5.4228388e+00,9.5385533e+00
2.9017189e+00,6.9143990e-01,2.8932933e-01,4.3634357e+00,5.9712556e+00,5.4462232e+00,9.5611882e+00
2.9054904e+00,6.9151335e-01,2.8937108e-01,4.3627649e+00,5.9695709e+00,5.4499536e+00,9.5645916e+00
3.2643454e+00,6.9657628e-01,2.9288321e-01,4.3052500e+00,5.8117697e+00,5.8061205e+00,9.9022044e+00
3.3116462e+00,6.9767430e-01,2.9333586e-01,4.2953759e+00,5.7932258e+00,5.8512267e+00,9.9440348e+00
3.4275627e+00,7.0003946e-01,2.9441837e-01,4.2719274e+00,5.7478506e+00,5.9616849e+00,1.0046868e+01
3.4666388e+00,7.0068628e-01,2.9475947e-01,4.2644473e+00,5.7324935e+00,5.9991043e+00,1.0081941e+01
3.6471072e+00,7.0296594e-01,2.9625931e-01,4.2324581e+00,5.6608831e+00,6.1731324e+00,1.0246414e+01
3.6723886e+00,7.0331224e-01,2.9645650e-01,4.2278635e+00,5.6510950e+00,6.1974701e+00,1.0269358e+01
3.7142559e+00,7.0393282e-01,2.9678541e-01,4.2201209e+00,5.6350377e+00,6.2376582e+00,1.0307180e+01
3.9614263e+00,7.1005036e-01,2.9864814e-01,4.1644555e+00,5.5495839e+00,6.4687636e+00,1.0519561e+01
4.0210828e+00,7.1190626e-01,2.9909830e-01,4.1493723e+00,5.5306493e+00,6.5231987e+00,1.0568677e+01
4.0232073e+00,7.1197975e-01,2.9911219e-01,4.1487826e+00,5.5300221e+00,6.5251129e+00,1.0570358e+01
4.1128882e+00,7.1458323e-01,2.9978541e-01,4.1265617e+00,5.5016095e+00,6.6068188e+00,1.0644300e+01
4.3853713e+00,7.1990520e-01,3.0158946e-01,4.0676020e+00,5.4121566e+00,6.8591682e+00,1.0877193e+01
4.4783265e+00,7.2135405e-01,3.0213033e-01,4.0489465e+00,5.3815364e+00,6.9461494e+00,1.0958238e+01
4.5071163e+00,7.2191279e-01,3.0230531e-01,4.0427470e+00,5.3724179e+00,6.9728123e+00,1.0982759e+01
4.5700836e+00,7.2309858e-01,3.0264433e-01,4.0294612e+00,5.3525244e+00,7.0313956e+00,1.1037022e+01
4.7390950e+00,7.2675952e-01,3.0358122e-01,3.9920009e+00,5.3012816e+00,7.1869410e+00,1.1179855e+01
4.7982069e+00,7.2794202e-01,3.0390025e-01,3.9791445e+00,5.2835258e+00,7.2412776e+00,1.1229871e+01
4.8965181e+00,7.2949888e-01,3.0439276e-01,3.9591165e+00,5.2534536e+00,7.3323476e+00,1.1314466e+01
4.9760498e+00,7.3037085e-01,3.0475476e-01,3.9442377e+00,5.2285629e+00,7.4067854e+00,1.1384373e+01
5.0814018e+00,7.3119895e-01,3.0520703e-01,3.9258816e+00,5.1950342e+00,7.5062266e+00,1.1478529e+01
5.1059501e+00,7.3146015e-01,3.0530904e-01,3.9213982e+00,5.1874268e+00,7.5293152e+00,1.1500182e+01
5.2806766e+00,7.3349942e-01,3.0597161e-01,3.8893031e+00,5.1344164e+00,7.6935685e+00,1.1654885e+01
