nmfreq,tauO,tauO,tauO,cO,cO,cO,omegaO,omegaO,omegaO
0,0,1,2,0,1,2,0,1,2
0.0000000e+00,1.7348094e+00,5.6038373e-01,2.3862251e-01,3.4489600e+00,4.7258412e+00,6.5464064e+00,1.9311198e+00,4.4878636e+00,8.4702057e+00
4.1855441e-01,1.8955462e+00,6.0620155e-01,2.4932016e-01,3.3193588e+00,4.6411966e+00,6.5114627e+00,2.0049793e+00,4.5133159e+00,8.5418933e+00
4.1864781e-01,1.8957037e+00,6.0621741e-01,2.4931544e-01,3.3192227e+00,4.6411019e+00,6.5115700e+00,2.0049964e+00,4.5132745e+00,8.5417672e+00
5.8579313e-01,1.9652509e+00,6.2702304e-01,2.5457658e-01,3.2384329e+00,4.6033347e+00,6.4758194e+00,2.0734722e+00,4.5581006e+00,8.6010913e+00
5.8597617e-01,1.9654943e+00,6.2706961e-01,2.5458487e-01,3.2382316e+00,4.6031467e+00,6.4759169e+00,2.0735358e+00,4.5580051e+00,8.6009362e+00
8.3610048e-01,2.0089208e+00,6.5199854e-01,2.6147950e-01,3.1468755e+00,4.5514532e+00,6.3874642e+00,2.2359651e+00,4.6983412e+00,8.7484840e+00
8.3684733e-01,2.0091963e+00,6.5205715e-01,2.6149633e-01,3.1465459e+00,4.5513729e+00,6.3871712e+00,2.2364905e+00,4.6988189e+00,8.7490213e+00
1.1690778e+00,2.4437893e+00,6.8044398e-01,2.6903025e-01,2.8461474e+00,4.5048413e+00,6.3251659e+00,2.4331840e+00,4.8040831e+00,8.8621522e+00
1.1705407e+00,2.4469198e+00,6.8065136e-01,2.6905874e-01,2.8444424e+00,4.5042673e+00,6.3253002e+00,2.4339050e+00,4.8041984e+00,8.8620815e+00
1.2516323e+00,2.6219497e+00,6.8721520e-01,2.7084401e-01,2.7530648e+00,4.4937818e+00,6.3151812e+00,2.4749097e+00,4.8202582e+00,8.8806124e+00
1.2525834e+00,2.6239903e+00,6.8729965e-01,2.7086380e-01,2.7520181e+00,4.4936075e+00,6.3150914e+00,2.4753870e+00,4.8204566e+00,8.8808390e+00
1.2541507e+00,2.6277163e+00,6.8745737e-01,2.7090094e-01,2.7501754e+00,4.4932831e+00,6.3149877e+00,2.4761561e+00,4.8206617e+00,8.8810131e+00
1.6641489e+00,2.7838099e+00,7.1030955e-01,2.7935332e-01,2.5225731e+00,4.4228486e+00,6.1724276e+00,2.7809731e+00,5.0734406e+00,9.1298455e+00
1.6701111e+00,2.7792429e+00,7.1040497e-01,2.7943381e-01,2.5216735e+00,4.4219541e+00,6.1693756e+00,2.7871610e+00,5.0793027e+00,9.1354617e+00
1.7473563e+00,2.7678951e+00,7.1122892e-01,2.8050198e-01,2.4994837e+00,4.4138983e+00,6.1315027e+00,2.8647464e+00,5.1500432e+00,9.2051116e+00
1.7522852e+00,2.7703305e+00,7.1130716e-01,2.8056604e-01,2.4973887e+00,4.4133840e+00,6.1293701e+00,2.8694835e+00,5.1541597e+00,9.2091523e+00
2.0726563e+00,3.7996302e+00,7.2057738e-01,2.8456057e-01,2.2052836e+00,4.3827762e+00,6.0499824e+00,3.1068946e+00,5.3194962e+00,9.3740778e+00
2.0842832e+00,3.8640682e+00,7.2104367e-01,2.8471782e-01,2.1926944e+00,4.3812588e+00,6.0480260e+00,3.1140206e+00,5.3239208e+00,9.3784381e+00
2.3181524e+00,5.0113115e+00,7.2900682e-01,2.8796272e-01,1.9886323e+00,4.3476879e+00,5.9925842e+00,3.2659940e+00,5.4406774e+00,9.4933267e+00
2.3298084e+00,5.0324464e+00,7.2932377e-01,2.8812221e-01,1.9822753e+00,4.3456956e+00,5.9887815e+00,3.2747490e+00,5.4485841e+00,9.5009177e+00
