nmfreq,tauO,tauO,tauO,tauO,cO,cO,cO,cO,omegaO,omegaO,omegaO,omegaO
0,0,1,2,3,0,1,2,3,0,1,2,3
0.0000000e+00,1.7048931e+00,7.0120799e-01,4.5219977e-01,2.3349719e-01,3.5724006e+00,4.1324809e+00,4.6963526e+00,4.9867504e+00,1.9008494e+00,4.0320994e+00,6.7440422e+00,1.0938999e+01
4.1855441e-01,9.8226948e+00,2.8649401e+00,6.3572552e-01,2.4592641e-01,2.0137149e+00,2.6348780e+00,4.5463837e+00,6.5791815e+00,1.6050575e+00,2.4675397e+00,4.6302992e+00,8.5461657e+00
4.1864781e-01,9.8226948e+00,2.8650518e+00,6.3574376e-01,2.4593292e-01,2.0137602e+00,2.6347758e+00,4.5463368e+00,6.5791719e+00,1.6051296e+00,2.4676031e+00,4.6302768e+00,8.5461542e+00
5.8579313e-01,9.8226948e+00,3.1173375e+00,6.5759906e-01,2.4962785e-01,2.1475076e+00,2.4627570e+00,4.4917804e+00,6.5400497e+00,1.7552853e+00,2.6480224e+00,4.7214396e+00,8.6291994e+00
5.8597617e-01,9.8226948e+00,3.1181307e+00,6.5766970e-01,2.4963155e-01,2.1476347e+00,2.4625088e+00,4.4915341e+00,6.5401688e+00,1.7554118e+00,2.6481823e+00,4.7214420e+00,8.6291041e+00
8.3610048e-01,9.8226948e+00,4.8252399e+00,7.0444121e-01,2.5936654e-01,2.2214428e+00,2.1676246e+00,4.4110139e+00,6.5005526e+00,1.9042374e+00,2.8213784e+00,4.7629161e+00,8.6893235e+00
8.3684733e-01,9.8226948e+00,4.8309649e+00,7.0462897e-01,2.5939836e-01,2.2213630e+00,2.1670013e+00,4.4105079e+00,6.5005912e+00,1.9046435e+00,2.8217589e+00,4.7629287e+00,8.6892447e+00
1.1690778e+00,9.8226948e+00,4.8194385e+00,7.2264466e-01,2.6898789e-01,2.0607013e+00,2.0873036e+00,4.3928230e+00,6.3562938e+00,2.1107970e+00,2.9830378e+00,4.9260862e+00,8.8946511e+00
1.1705407e+00,9.8226948e+00,4.8119506e+00,7.2264855e-01,2.6901499e-01,2.0598269e+00,2.0873073e+00,4.3927650e+00,6.3555863e+00,2.1119788e+00,2.9839434e+00,4.9271056e+00,8.8957493e+00
1.2516323e+00,9.8226948e+00,4.2675481e+00,7.1961676e-01,2.7019352e-01,2.0147974e+00,2.0986781e+00,4.3977256e+00,6.3063423e+00,2.1845342e+00,3.0433761e+00,4.9989770e+00,8.9754592e+00
1.2525834e+00,9.8226948e+00,4.2614277e+00,7.1951641e-01,2.7019705e-01,2.0144185e+00,2.0987484e+00,4.3979779e+00,6.3056292e+00,2.1855043e+00,3.0442520e+00,5.0000426e+00,8.9766799e+00
1.2541507e+00,9.8226948e+00,4.2497659e+00,7.1944585e-01,2.7021906e-01,2.0136896e+00,2.0990633e+00,4.3980320e+00,6.3046157e+00,2.1870608e+00,3.0456157e+00,5.0015805e+00,8.9783226e+00
1.6641489e+00,9.8226948e+00,2.9441649e+00,7.1524370e-01,2.7635214e-01,1.9712051e+00,2.1255491e+00,4.3680662e+00,6.0423766e+00,2.5789850e+00,3.5130087e+00,5.4477249e+00,9.4363670e+00
1.6701111e+00,9.8226948e+00,2.9412691e+00,7.1526949e-01,2.7647905e-01,1.9685129e+00,2.1251768e+00,4.3679847e+00,6.0392413e+00,2.5832757e+00,3.5171221e+00,5.4522404e+00,9.4415392e+00
1.7473563e+00,2.7595833e+00,9.6855273e-01,5.6044626e-01,2.7037195e-01,2.5758238e+00,3.6951401e+00,4.4342356e+00,4.8624381e+00,2.8301160e+00,4.6610497e+00,7.2154270e+00,1.1478264e+01
1.7522852e+00,2.7623883e+00,9.7009610e-01,5.6075166e-01,2.7042378e-01,2.5733824e+00,3.6909354e+00,4.4335340e+00,4.8633197e+00,2.8347860e+00,4.6634880e+00,7.2157746e+00,1.1477849e+01
2.0726563e+00,3.9507880e+00,1.1179064e+00,5.8659695e-01,2.7420448e-01,2.2377088e+00,3.3450657e+00,4.4129725e+00,5.0239378e+00,3.0792022e+00,4.6758757e+00,7.0517014e+00,1.1243507e+01
2.0842832e+00,4.0455443e+00,1.1286032e+00,5.8867026e-01,2.7441998e-01,2.2212496e+00,3.3233797e+00,4.4104132e+00,5.0382663e+00,3.0864466e+00,4.6699808e+00,7.0339275e+00,1.1219702e+01
2.3181524e+00,8.0441114e+00,1.4720842e+00,6.4999527e-01,2.7928587e-01,1.8910274e+00,2.8129246e+00,4.3063308e+00,5.3716545e+00,3.2274330e+00,4.5298371e+00,6.6354668e+00,1.0682600e+01
2.3298084e+00,8.3940256e+00,1.4891617e+00,6.5238700e-01,2.7950608e-01,1.8765931e+00,2.7945528e+00,4.3021623e+00,5.3810739e+00,3.2345602e+00,4.5268993e+00,6.6249630e+00,1.0668326e+01
2.4761706e+00,9.8226948e+00,1.5225756e+00,6.5756525e-01,2.8169168e-01,1.7813623e+00,2.7487056e+00,4.2832809e+00,5.3508054e+00,3.3403616e+00,4.6034419e+00,6.6945462e+00,1.0738430e+01
2.4837347e+00,9.8226948e+00,1.5162682e+00,6.5676242e-01,2.8173993e-01,1.7776437e+00,2.7542405e+00,4.2837634e+00,5.3438255e+00,3.3465954e+00,4.6113302e+00,6.7056991e+00,1.0751399e+01
2.4962233e+00,9.8226932e+00,1.5039019e+00,6.5512709e-01,2.8179670e-01,1.7713848e+00,2.7655695e+00,4.2850520e+00,5.3308584e+00,3.3570561e+00,4.6252574e+00,6.7260989e+00,1.0775374e+01
2.8737195e+00,8.4116317e+00,1.2822232e+00,6.1220133e-01,2.8183642e-01,1.7036318e+00,3.0442005e+00,4.3140292e+00,4.9242174e+00,3.7176143e+00,5.1159134e+00,7.4085881e+00,1.1584290e+01
2.8790217e+00,8.5555128e+00,1.2870018e+00,6.1272870e-01,2.8190920e-01,1.6986728e+00,3.0369730e+00,4.3134019e+00,4.9271177e+00,3.7216299e+00,5.1161895e+00,7.4055857e+00,1.1579883e+01
2.9017189e+00,9.2262096e+00,1.3094665e+00,6.1521264e-01,2.8219314e-01,1.6778004e+00,3.0040848e+00,4.3103575e+00,4.9407566e+00,3.7387399e+00,5.1169258e+00,7.3914366e+00,1.1559073e+01
2.9054904e+00,9.3492508e+00,1.3133341e+00,6.1568234e-01,2.8224574e-01,1.6743032e+00,2.9985083e+00,4.3096725e+00,4.9432171e+00,3.7415612e+00,5.1169468e+00,7.3888756e+00,1.1555296e+01
3.2643454e+00,7.4256531e+00,1.1579015e+00,6.1280196e-01,2.8362811e-01,1.5991339e+00,3.2084890e+00,4.1958813e+00,4.6966181e+00,4.0594337e+00,5.5318650e+00,7.9232364e+00,1.2129522e+01
