nmfreq,tauO,cO,omegaO
0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
0.0000000e+00,1.3629688e+00,8.1321401e-01,1.1916090e-01
1.0000000e-02,1.4035991e+00,8.0625251e-01,2.6036560e-01
2.0000000e-02,1.4432565e+00,7.9919061e-01,3.3791615e-01
3.0000000e-02,1.4817181e+00,7.9215059e-01,3.9376277e-01
4.0000000e-02,1.5188268e+00,7.8520958e-01,4.3760857e-01
5.0000000e-02,1.5544925e+00,7.7840996e-01,4.7369891e-01
6.0000000e-02,1.5886664e+00,7.7177499e-01,5.0435495e-01
7.0000000e-02,1.6213175e+00,7.6531761e-01,5.3101498e-01
8.0000000e-02,1.6524612e+00,7.5904143e-01,5.5463442e-01
9.0000000e-02,1.6821062e+00,7.5294692e-01,5.7588477e-01
1.0000000e-01,1.7102794e+00,7.4703127e-01,5.9525516e-01
2.0000000e-01,1.9213115e+00,6.9635957e-01,7.3740456e-01
3.0000000e-01,2.0395335e+00,6.5677848e-01,8.4651320e-01
4.0000000e-01,2.1057344e+00,6.2396451e-01,9.4759041e-01
5.0000000e-01,2.1442628e+00,5.9558308e-01,1.0458999e+00
6.0000000e-01,2.1682708e+00,5.7036344e-01,1.1429155e+00
7.0000000e-01,2.1829463e+00,5.4806449e-01,1.2394374e+00
8.0000000e-01,2.1921832e+00,5.2783619e-01,1.3355598e+00
9.0000000e-01,2.1995765e+00,5.0915358e-01,1.4312084e+00
1.0000000e+00,2.2065905e+00,4.9179850e-01,1.5264877e+00
1.1000000e+00,2.2142345e+00,4.7559311e-01,1.6214104e+00
1.2000000e+00,2.2228276e+00,4.6040711e-01,1.7160473e+00
1.3000000e+00,2.2326849e+00,4.4612785e-01,1.8104527e+00
1.4000000e+00,2.2438664e+00,4.3266650e-01,1.9046622e+00
1.5000000e+00,2.2564859e+00,4.1994403e-01,1.9987217e+00
1.6000000e+00,2.2705340e+00,4.0789574e-01,2.0926488e+00
1.7000000e+00,2.2858879e+00,3.9646836e-01,2.1864907e+00
1.8000000e+00,2.3026232e+00,3.8560894e-01,2.2802612e+00
1.9000000e+00,2.3206484e+00,3.7527597e-01,2.3739840e+00
2.0000000e+00,2.3399279e+00,3.6543042e-01,2.4676850e+00
2.1000000e+00,2.3603862e+00,3.5603892e-01,2.5613765e+00
2.2000000e+00,2.3819756e+00,3.4707054e-01,2.6550776e+00
2.3000000e+00,2.4046735e+00,3.3849668e-01,2.7488014e+00
2.4000000e+00,2.4283468e+00,3.3029467e-01,2.8425564e+00
2.5000000e+00,2.4530861e+00,3.2243759e-01,2.9363603e+00
2.6000000e+00,2.4786459e+00,3.1491022e-01,3.0302119e+00
2.7000000e+00,2.5051453e+00,3.0768872e-01,3.1241267e+00
2.8000000e+00,2.5324846e+00,3.0075707e-01,3.2181106e+00
2.9000000e+00,2.5606361e+00,2.9409871e-01,3.3121672e+00
3.0000000e+00,2.5895551e+00,2.8769876e-01,3.4063015e+00
3.1000000e+00,2.6191985e+00,2.8154346e-01,3.5005191e+00
3.2000000e+00,2.6495296e+00,2.7561992e-01,3.5948204e+00
3.3000000e+00,2.6805395e+00,2.6991550e-01,3.6892116e+00
3.4000000e+00,2.7121749e+00,2.6441966e-01,3.7836869e+00
3.5000000e+00,2.7444087e+00,2.5912157e-01,3.8782643e+00
3.6000000e+00,2.7772609e+00,2.5401067e-01,3.9729286e+00
3.7000000e+00,2.8106465e+00,2.4907899e-01,4.0676873e+00
3.8000000e+00,2.8444792e+00,2.4431912e-01,4.1625384e+00
3.9000000e+00,2.8789131e+00,2.3971947e-01,4.2574897e+00
4.0000000e+00,2.9138172e+00,2.3527447e-01,4.3525349e+00
4.1000000e+00,2.9490831e+00,2.3097877e-01,4.4476668e+00
4.2000000e+00,2.9848867e+00,2.2682196e-01,4.5429023e+00
4.3000000e+00,3.0210994e+00,2.2279967e-01,4.6382276e+00
4.4000000e+00,3.0576842e+00,2.1890633e-01,4.7336416e+00
4.5000000e+00,3.0946240e+00,2.1513619e-01,4.8291461e+00
4.6000000e+00,3.1319903e+00,2.1148255e-01,4.9247426e+00
4.7000000e+00,3.1696626e+00,2.0794195e-01,5.0204285e+00
4.8000000e+00,3.2077223e+00,2.0450822e-01,5.1162011e+00
4.9000000e+00,3.2461116e+00,2.0117745e-01,5.2120611e+00
