nmfreq,tauO,tauO,cO,cO,omegaO,omegaO
0.0000000e+00,0.0000000e+00,1.0000000e+00,0.0000000e+00,1.0000000e+00,0.0000000e+00,1.0000000e+00
0.0000000e+00,2.1948975e+00,1.5249093e+00,6.1506797e-01,5.2279523e-01,1.1283309e-01,9.0703728e-01
1.0000000e-02,2.5112025e+00,1.5114931e+00,6.0459334e-01,5.2386831e-01,2.3499678e-01,9.8271299e-01
2.0000000e-02,7.4236767e+00,1.4854172e+00,3.1060678e-01,7.3225001e-01,1.9383459e-01,6.0518155e-01
3.0000000e-02,7.9659244e+00,1.5220815e+00,3.1134489e-01,7.2434453e-01,2.1333540e-01,6.4260138e-01
4.0000000e-02,7.9907621e+00,1.5555318e+00,3.2113666e-01,7.1261285e-01,2.3278945e-01,6.8492233e-01
5.0000000e-02,7.9141736e+00,1.5864223e+00,3.3038995e-01,7.0119439e-01,2.5080390e-01,7.2277844e-01
6.0000000e-02,7.8119376e+00,1.6149963e+00,3.3823405e-01,6.9053220e-01,2.6763066e-01,7.5626696e-01
7.0000000e-02,7.7062544e+00,1.6414682e+00,3.4472217e-01,6.8064753e-01,2.8352081e-01,7.8614938e-01
8.0000000e-02,7.6034376e+00,1.6660514e+00,3.5008492e-01,6.7145695e-01,2.9867728e-01,8.1317187e-01
9.0000000e-02,7.5047551e+00,1.6888707e+00,3.5454646e-01,6.6286612e-01,3.1326622e-01,8.3793191e-01
1.0000000e-01,7.4114693e+00,1.7100060e+00,3.5823792e-01,6.5481953e-01,3.2738740e-01,8.6081218e-01
2.0000000e-01,6.7261177e+00,1.8583383e+00,3.7265590e-01,5.9336932e-01,4.5391846e-01,1.0354694e+00
3.0000000e-01,6.3242881e+00,1.9384085e+00,3.6977679e-01,5.5096454e-01,5.6751332e-01,1.1682663e+00
4.0000000e-01,6.0696942e+00,1.9854426e+00,3.6127057e-01,5.1803178e-01,6.7522169e-01,1.2854784e+00
5.0000000e-01,5.9045644e+00,2.0151463e+00,3.5059837e-01,4.9086172e-01,7.7946272e-01,1.3945493e+00
6.0000000e-01,5.8000879e+00,2.0355686e+00,3.3910681e-01,4.6764161e-01,8.8136498e-01,1.4984275e+00
7.0000000e-01,5.7208612e+00,2.0459445e+00,3.2817405e-01,4.4774133e-01,9.8209601e-01,1.6008838e+00
8.0000000e-01,5.6722518e+00,2.0503806e+00,3.1736682e-01,4.3028070e-01,1.0816632e+00,1.7010185e+00
9.0000000e-01,5.6501952e+00,2.0533073e+00,3.0675964e-01,4.1450521e-01,1.1803021e+00,1.7989065e+00
1.0000000e+00,5.6485520e+00,2.0560719e+00,2.9648231e-01,4.0009879e-01,1.2782196e+00,1.8949799e+00
1.1000000e+00,5.6622718e+00,2.0591971e+00,2.8665419e-01,3.8679941e-01,1.3756493e+00,1.9898276e+00
1.2000000e+00,5.6907013e+00,2.0633159e+00,2.7721407e-01,3.7449305e-01,1.4726011e+00,2.0834347e+00
1.3000000e+00,5.7281573e+00,2.0682255e+00,2.6827719e-01,3.6298040e-01,1.5693265e+00,2.1763920e+00
1.4000000e+00,5.7833923e+00,2.0745610e+00,2.5956472e-01,3.5233548e-01,1.6655636e+00,2.2680579e+00
1.5000000e+00,5.8296938e+00,2.0815011e+00,2.5167420e-01,3.4206476e-01,1.7621206e+00,2.3603164e+00
1.6000000e+00,5.8896658e+00,2.0896128e+00,2.4402246e-01,3.3248395e-01,1.8583714e+00,2.4517093e+00
1.7000000e+00,5.9578928e+00,2.0991066e+00,2.3669363e-01,3.2345721e-01,1.9544552e+00,2.5425640e+00
1.8000000e+00,6.0285949e+00,2.1094631e+00,2.2979482e-01,3.1485796e-01,2.0505842e+00,2.6334031e+00
1.9000000e+00,6.1035472e+00,2.1207898e+00,2.2323993e-01,3.0668807e-01,2.1466947e+00,2.7240718e+00
2.0000000e+00,6.1833265e+00,2.1332925e+00,2.1698877e-01,2.9891879e-01,2.2427822e+00,2.8145227e+00
2.1000000e+00,6.2658331e+00,2.1465920e+00,2.1105670e-01,2.9150435e-01,2.3389111e+00,2.9049572e+00
2.2000000e+00,6.3520413e+00,2.1608667e+00,2.0540064e-01,2.8442889e-01,2.4350612e+00,2.9953114e+00
2.3000000e+00,6.4391057e+00,2.1758777e+00,2.0004865e-01,2.7764166e-01,2.5313058e+00,3.0857888e+00
2.4000000e+00,6.5302888e+00,2.1918545e+00,1.9492024e-01,2.7116012e-01,2.6275571e+00,3.1761786e+00
2.5000000e+00,6.6223201e+00,2.2084564e+00,1.9004744e-01,2.6493856e-01,2.7239001e+00,3.2666626e+00
2.6000000e+00,6.7190922e+00,2.2259931e+00,1.8535693e-01,2.5899351e-01,2.8202504e+00,3.3570606e+00
2.7000000e+00,6.8134051e+00,2.2440380e+00,1.8094185e-01,2.5324385e-01,2.9167588e+00,3.4477840e+00
2.8000000e+00,6.9127471e+00,2.2630066e+00,1.7666957e-01,2.4774967e-01,3.0132570e+00,3.5383707e+00
2.9000000e+00,7.0105859e+00,2.2822459e+00,1.7262792e-01,2.4244112e-01,3.1099072e+00,3.6292610e+00
3.0000000e+00,7.1110013e+00,2.3024965e+00,1.6873969e-01,2.3733755e-01,3.2065841e+00,3.7201391e+00
3.1000000e+00,7.2125900e+00,2.3231149e+00,1.6501782e-01,2.3242387e-01,3.3033534e+00,3.8111703e+00
3.2000000e+00,7.3115835e+00,2.3442186e+00,1.6149398e-01,2.2765934e-01,3.4002513e+00,3.9024841e+00
3.3000000e+00,7.4163634e+00,2.3660181e+00,1.5805453e-01,2.2310282e-01,3.4971358e+00,3.9936729e+00
3.4000000e+00,7.5161224e+00,2.3879779e+00,1.5482201e-01,2.1866353e-01,3.5942063e+00,4.0852854e+00
3.5000000e+00,7.6210817e+00,2.4108771e+00,1.5166370e-01,2.1440819e-01,3.6912415e+00,4.1767730e+00
3.6000000e+00,7.7220157e+00,2.4337910e+00,1.4868213e-01,2.1026623e-01,3.7884532e+00,4.2686487e+00
3.7000000e+00,7.8254464e+00,2.4573772e+00,1.4579054e-01,2.0627733e-01,3.8856747e+00,4.3605308e+00
3.8000000e+00,7.9299985e+00,2.4813977e+00,1.4300366e-01,2.0242239e-01,3.9829652e+00,4.4525365e+00
3.9000000e+00,8.0319306e+00,2.5056689e+00,1.4034569e-01,1.9867794e-01,4.0803585e+00,4.5447752e+00
4.0000000e+00,8.1388084e+00,2.5306335e+00,1.3774439e-01,1.9507791e-01,4.1777417e+00,4.6369737e+00
4.1000000e+00,8.2413594e+00,2.5556447e+00,1.3527706e-01,1.9156805e-01,4.2752647e+00,4.7294854e+00
4.2000000e+00,8.3485104e+00,2.5812431e+00,1.3285641e-01,1.8819433e-01,4.3727679e+00,4.8219404e+00
4.3000000e+00,8.4534767e+00,2.6071578e+00,1.3054592e-01,1.8490613e-01,4.4703826e+00,4.9146545e+00
4.4000000e+00,8.5591004e+00,2.6334121e+00,1.2830577e-01,1.8172580e-01,4.5680254e+00,5.0074453e+00
4.5000000e+00,8.6685375e+00,2.6600988e+00,1.2611550e-01,1.7865734e-01,4.6656922e+00,5.1002587e+00
4.6000000e+00,8.7737089e+00,2.6868601e+00,1.2402836e-01,1.7566265e-01,4.7634598e+00,5.1933282e+00
4.7000000e+00,8.8860195e+00,2.7144567e+00,1.2196065e-01,1.7278392e-01,4.8611884e+00,5.2863029e+00
4.8000000e+00,8.9927365e+00,2.7419477e+00,1.1999985e-01,1.6996541e-01,4.9590457e+00,5.3795879e+00
4.9000000e+00,9.1089734e+00,2.7703526e+00,1.1803582e-01,1.6726722e-01,5.0568267e+00,5.4726844e+00
5.0000000e+00,9.2218550e+00,2.7986129e+00,1.1615946e-01,1.6463154e-01,5.1547219e+00,5.5660444e+00
5.1000000e+00,9.3356463e+00,2.8272420e+00,1.1433447e-01,1.6207440e-01,5.2526390e+00,5.6594917e+00
5.2000000e+00,9.4571230e+00,2.8564647e+00,1.1252149e-01,1.5961433e-01,5.3505408e+00,5.7528653e+00
5.3000000e+00,9.5726940e+00,2.8857606e+00,1.1079804e-01,1.5719974e-01,5.4485408e+00,5.8465103e+00
5.4000000e+00,9.7028160e+00,2.9160614e+00,1.0904044e-01,1.5490242e-01,5.5464380e+00,5.9398625e+00
5.5000000e+00,9.8235910e+00,2.9458683e+00,1.0739594e-01,1.5263107e-01,5.6444982e+00,6.0336665e+00
5.6000000e+00,9.9548470e+00,2.9767035e+00,1.0573724e-01,1.5045591e-01,5.7424781e+00,6.1272607e+00
5.7000000e+00,1.0090762e+01,3.0077364e+00,1.0411000e-01,1.4834816e-01,5.8404956e+00,6.2209276e+00
5.8000000e+00,1.0222943e+01,3.0390803e+00,1.0254627e-01,1.4628270e-01,5.9385712e+00,6.3147696e+00
5.9000000e+00,1.0373409e+01,3.0712724e+00,1.0094073e-01,1.4432360e-01,6.0365498e+00,6.4083408e+00
6.0000000e+00,1.0513818e+01,3.1032948e+00,9.9431619e-02,1.4238111e-01,6.1346645e+00,6.5022717e+00
6.1000000e+00,1.0676742e+01,3.1365321e+00,9.7862094e-02,1.4054915e-01,6.2326397e+00,6.5958377e+00
6.2000000e+00,1.0828397e+01,3.1693267e+00,9.6395690e-02,1.3872461e-01,6.3307862e+00,6.6898294e+00
6.3000000e+00,1.0997886e+01,3.2035080e+00,9.4891122e-02,1.3698941e-01,6.4288098e+00,6.7835482e+00
6.4000000e+00,1.1173776e+01,3.2375842e+00,9.3411796e-02,1.3530671e-01,6.5268908e+00,6.8773532e+00
6.5000000e+00,1.1345324e+01,3.2721078e+00,9.1991537e-02,1.3364889e-01,6.6250250e+00,6.9713442e+00
6.6000000e+00,1.1550480e+01,3.3079608e+00,9.0484797e-02,1.3210492e-01,6.7230011e+00,7.0648888e+00
6.7000000e+00,1.1731168e+01,3.3428881e+00,8.9123378e-02,1.3053117e-01,6.8212227e+00,7.1590705e+00
6.8000000e+00,1.1953373e+01,3.3801737e+00,8.7647786e-02,1.2907912e-01,6.9192022e+00,7.2526480e+00
6.9000000e+00,1.2164806e+01,3.4163065e+00,8.6267254e-02,1.2762808e-01,7.0173759e+00,7.3466670e+00
7.0000000e+00,1.2387964e+01,3.4537261e+00,8.4884358e-02,1.2622758e-01,7.1154896e+00,7.4405946e+00
7.1000000e+00,1.2649421e+01,3.4926091e+00,8.3430389e-02,1.2491660e-01,7.2135019e+00,7.5341810e+00
7.2000000e+00,1.2879613e+01,3.5301623e+00,8.2125236e-02,1.2356918e-01,7.3117459e+00,7.6284344e+00
7.3000000e+00,1.3171424e+01,3.5701266e+00,8.0680965e-02,1.2234707e-01,7.4097600e+00,7.7220200e+00
7.4000000e+00,1.3406104e+01,3.6076466e+00,7.9457522e-02,1.2104425e-01,7.5081484e+00,7.8166100e+00
7.5000000e+00,1.3721809e+01,3.6488657e+00,7.8045919e-02,1.1988856e-01,7.6061862e+00,7.9102916e+00
7.6000000e+00,1.3993110e+01,3.6876436e+00,7.6817798e-02,1.1867174e-01,7.7045788e+00,8.0048401e+00
7.7000000e+00,1.4288476e+01,3.7278474e+00,7.5559707e-02,1.1751188e-01,7.8028697e+00,8.0991905e+00
7.8000000e+00,1.4624894e+01,3.7689828e+00,7.4261480e-02,1.1641165e-01,7.9011382e+00,8.1933958e+00
7.9000000e+00,1.4884136e+01,3.8070680e+00,7.3184492e-02,1.1523103e-01,7.9997517e+00,8.2885644e+00
8.0000000e+00,1.5263024e+01,3.8500192e+00,7.1881037e-02,1.1420427e-01,8.0979862e+00,8.3827105e+00
8.1000000e+00,1.5528117e+01,3.8876797e+00,7.0876931e-02,1.1305670e-01,8.1967457e+00,8.4782167e+00
8.2000000e+00,1.5877819e+01,3.9294187e+00,6.9722382e-02,1.1201933e-01,8.2952082e+00,8.5729999e+00
8.3000000e+00,1.6196184e+01,3.9685961e+00,6.8690127e-02,1.1095273e-01,8.3939389e+00,8.6683892e+00
8.4000000e+00,1.6515977e+01,4.0087765e+00,6.7673205e-02,1.0990930e-01,8.4926257e+00,8.7637740e+00
8.5000000e+00,1.6882224e+01,4.0494593e+00,6.6623647e-02,1.0891431e-01,8.5913164e+00,8.8590668e+00
8.6000000e+00,1.7130474e+01,4.0870679e+00,6.5804857e-02,1.0782828e-01,8.6903310e+00,8.9553203e+00
8.7000000e+00,1.7529244e+01,4.1287529e+00,6.4764099e-02,1.0688860e-01,8.7890095e+00,9.0506317e+00
8.8000000e+00,1.7771942e+01,4.1651093e+00,6.4016018e-02,1.0582757e-01,8.8881652e+00,9.1472281e+00
8.9000000e+00,1.8116815e+01,4.2055192e+00,6.3117225e-02,1.0486996e-01,8.9870365e+00,9.2431180e+00
9.0000000e+00,1.8446549e+01,4.2441887e+00,6.2288023e-02,1.0390501e-01,9.0860766e+00,9.3393689e+00
9.1000000e+00,1.8684038e+01,4.2807228e+00,6.1600130e-02,1.0289632e-01,9.1852794e+00,9.4361737e+00
9.2000000e+00,1.9085609e+01,4.3217923e+00,6.0713187e-02,1.0201152e-01,9.2842037e+00,9.5321476e+00
9.3000000e+00,1.9289634e+01,4.3568485e+00,6.0119410e-02,1.0100584e-01,9.3835745e+00,9.6293864e+00
9.4000000e+00,1.9651438e+01,4.3968901e+00,5.9324676e-02,1.0012520e-01,9.4826042e+00,9.7257235e+00
9.5000000e+00,1.9909473e+01,4.4329078e+00,5.8703881e-02,9.9180681e-02,9.5819600e+00,9.8228730e+00
9.6000000e+00,2.0215713e+01,4.4714601e+00,5.8018429e-02,9.8291642e-02,9.6811433e+00,9.9196698e+00
9.7000000e+00,2.0549095e+01,4.5094514e+00,5.7338562e-02,9.7422547e-02,9.7803963e+00,1.0016554e+01
9.8000000e+00,2.0740142e+01,4.5442526e+00,5.6824208e-02,9.6494699e-02,9.8798437e+00,1.0114098e+01
9.9000000e+00,2.1135535e+01,4.5843571e+00,5.6101257e-02,9.5689365e-02,9.9789994e+00,1.0210766e+01
1.0000000e+01,2.1321273e+01,4.6184459e+00,5.5627857e-02,9.4782786e-02,1.0078535e+01,1.0308518e+01
1.0100000e+01,2.1642061e+01,4.6568498e+00,5.5009124e-02,9.3967969e-02,1.0177811e+01,1.0405602e+01
1.0200000e+01,2.1939141e+01,4.6934646e+00,5.4449088e-02,9.3143478e-02,1.0277230e+01,1.0502998e+01
1.0300000e+01,2.2128923e+01,4.7283041e+00,5.3990731e-02,9.2289086e-02,1.0376738e+01,1.0600773e+01
