nmfreq,tauO,tauO,tauO,cO,cO,cO,omegaO,omegaO,omegaO
0.0000000e+00,0.0000000e+00,1.0000000e+00,2.0000000e+00,0.0000000e+00,1.0000000e+00,2.0000000e+00,0.0000000e+00,1.0000000e+00,2.0000000e+00
0.0000000e+00,2.9324501e+00,2.2010667e+00,1.6812550e+00,5.1111300e-01,4.9456204e-01,3.7594058e-01,9.1299104e-02,6.0687647e-01,1.3797476e+00
1.0000000e-02,1.5204818e+01,3.1503279e+00,1.4710089e+00,2.0012931e-01,5.2280223e-01,5.7015542e-01,1.0940477e-01,3.3058027e-01,9.7178321e-01
2.0000000e-02,1.9531726e+01,4.9901036e+00,1.4909721e+00,1.9907417e-01,3.9708500e-01,6.5709578e-01,1.1657708e-01,3.1664626e-01,8.1993317e-01
3.0000000e-02,1.8585398e+01,5.3465275e+00,1.5256844e+00,2.1424057e-01,3.8662196e-01,6.5049444e-01,1.3551100e-01,3.4477755e-01,8.5413538e-01
4.0000000e-02,1.8337703e+01,5.5383490e+00,1.5589364e+00,2.2125581e-01,3.8431308e-01,6.4171633e-01,1.5071515e-01,3.6628608e-01,8.8750091e-01
5.0000000e-02,1.7180949e+01,5.5340170e+00,1.5866922e+00,2.3252516e-01,3.8657333e-01,6.2882446e-01,1.6798312e-01,3.9272646e-01,9.2860267e-01
6.0000000e-02,1.6551480e+01,5.5380684e+00,1.6125565e+00,2.3940605e-01,3.8798662e-01,6.1810882e-01,1.8332330e-01,4.1466369e-01,9.6222767e-01
7.0000000e-02,1.5889968e+01,5.5157360e+00,1.6360567e+00,2.4587794e-01,3.8931292e-01,6.0770152e-01,1.9836441e-01,4.3607928e-01,9.9404785e-01
8.0000000e-02,1.5350347e+01,5.4894512e+00,1.6575238e+00,2.5106777e-01,3.9021525e-01,5.9817839e-01,2.1283357e-01,4.5610355e-01,1.0229004e+00
9.0000000e-02,1.4954101e+01,5.4706322e+00,1.6777507e+00,2.5469009e-01,3.9063697e-01,5.8972727e-01,2.2643686e-01,4.7425502e-01,1.0484450e+00
1.0000000e-01,1.4539040e+01,5.4411244e+00,1.6961298e+00,2.5830060e-01,3.9090535e-01,5.8150486e-01,2.4003794e-01,4.9236698e-01,1.0732058e+00
