nmfreq,tauO,tauO,tauO,tauO,cO,cO,cO,cO,omegaO,omegaO,omegaO,omegaO
0.0000000e+00,0.0000000e+00,1.0000000e+00,2.0000000e+00,3.0000000e+00,0.0000000e+00,1.0000000e+00,2.0000000e+00,3.0000000e+00,0.0000000e+00,1.0000000e+00,2.0000000e+00,3.0000000e+00
0.0000000e+00,3.6115287e+00,2.8238848e+00,2.2960110e+00,1.8183782e+00,4.4561616e-01,4.5601548e-01,3.8787885e-01,2.9598691e-01,7.5934785e-02,4.6066381e-01,9.8048678e-01,1.7277454e+00
1.0000000e-02,5.0000000e+01,1.2611532e+01,3.7469133e+00,1.4734534e+00,1.2622781e-01,2.4233139e-01,4.5803050e-01,5.9413056e-01,5.5045067e-02,1.5674000e-01,3.8967539e-01,9.6670268e-01
2.0000000e-02,5.0000000e+01,1.4322052e+01,4.6051778e+00,1.5070981e+00,1.2708149e-01,2.4025467e-01,4.0995781e-01,6.2070094e-01,6.8594209e-02,1.6831378e-01,3.9460676e-01,9.3016670e-01
3.0000000e-02,5.0000000e+01,1.4107096e+01,4.8316744e+00,1.5395323e+00,1.3494585e-01,2.4928326e-01,4.0155796e-01,6.1264873e-01,8.6133915e-02,1.9032534e-01,4.2352761e-01,9.6604646e-01
4.0000000e-02,2.6537333e+01,1.1112193e+01,4.4232130e+00,1.5547197e+00,1.8896935e-01,2.7726909e-01,4.0776433e-01,5.7296261e-01,1.2244633e-01,2.5285093e-01,5.1231682e-01,1.0853888e+00
5.0000000e-02,2.6718325e+01,1.1227204e+01,4.5538076e+00,1.5833556e+00,1.8985590e-01,2.7921063e-01,4.0318392e-01,5.6699715e-01,1.3478295e-01,2.6753578e-01,5.3033936e-01,1.1094692e+00
6.0000000e-02,2.5510289e+01,1.1059057e+01,4.6001613e+00,1.6086225e+00,1.9471391e-01,2.8270507e-01,4.0055532e-01,5.5774535e-01,1.4849276e-01,2.8580998e-01,5.5386965e-01,1.1410276e+00
7.0000000e-02,2.4450741e+01,1.0850816e+01,4.6152400e+00,1.6303549e+00,1.9941587e-01,2.8575384e-01,3.9852034e-01,5.4849126e-01,1.6254266e-01,3.0424700e-01,5.7726608e-01,1.1717239e+00
8.0000000e-02,2.4192440e+01,1.0772502e+01,4.6480410e+00,1.6519279e+00,1.9997085e-01,2.8744324e-01,3.9659556e-01,5.4148992e-01,1.7434421e-01,3.1851253e-01,5.9498432e-01,1.1950809e+00
9.0000000e-02,2.3172390e+01,1.0566013e+01,4.6447716e+00,1.6707314e+00,2.0376610e-01,2.8970091e-01,3.9480374e-01,5.3304958e-01,1.8758903e-01,3.3575766e-01,6.1660308e-01,1.2225976e+00
1.0000000e-01,2.2533337e+01,1.0404748e+01,4.6423507e+00,1.6878601e+00,2.0604987e-01,2.9126425e-01,3.9308404e-01,5.2561470e-01,2.0030136e-01,3.5161651e-01,6.3608491e-01,1.2470028e+00
2.0000000e-01,1.8296479e+01,9.2627874e+00,4.5514239e+00,1.8084049e+00,2.1647686e-01,2.9516854e-01,3.7555393e-01,4.6897058e-01,3.1835611e-01,4.9254602e-01,8.0201009e-01,1.4413710e+00
3.0000000e-01,1.6290307e+01,8.6157333e+00,4.4508212e+00,1.8750659e+00,2.1662129e-01,2.8986443e-01,3.5853415e-01,4.3046122e-01,4.2896234e-01,6.1671529e-01,9.4027589e-01,1.5916038e+00
4.0000000e-01,1.5300078e+01,8.2439912e+00,4.3794894e+00,1.9170896e+00,2.1160195e-01,2.8146283e-01,3.4292259e-01,4.0178273e-01,5.3461559e-01,7.3030477e-01,1.0622520e+00,1.7192654e+00
5.0000000e-01,1.4730336e+01,8.0055451e+00,4.3264502e+00,1.9456994e+00,2.0504376e-01,2.7221251e-01,3.2862802e-01,3.7856119e-01,6.3773091e-01,8.3840265e-01,1.1757275e+00,1.8356313e+00
6.0000000e-01,1.4412871e+01,7.8578011e+00,4.2912629e+00,1.9664101e+00,1.9785645e-01,2.6271787e-01,3.1546381e-01,3.5916990e-01,7.3914354e-01,9.4267832e-01,1.2831644e+00,1.9440942e+00
7.0000000e-01,1.4213613e+01,7.7436331e+00,4.2535545e+00,1.9772553e+00,1.9092802e-01,2.5389188e-01,3.0387744e-01,3.4263798e-01,8.3960220e-01,1.0450570e+00,1.3882523e+00,2.0514714e+00
8.0000000e-01,1.4127614e+01,7.6750578e+00,4.2245313e+00,1.9794773e+00,1.8405512e-01,2.4527566e-01,2.9317855e-01,3.2850345e-01,9.3922914e-01,1.1455110e+00,1.4902507e+00,2.1553343e+00
9.0000000e-01,1.4135404e+01,7.6492992e+00,4.2092038e+00,1.9793284e+00,1.7726889e-01,2.3681257e-01,2.8308461e-01,3.1610678e-01,1.0382030e+00,1.2442635e+00,1.5892463e+00,2.2547344e+00
1.0000000e+00,1.4909933e+01,7.7847467e+00,4.2315467e+00,1.9798258e+00,1.6527534e-01,2.2808279e-01,2.7470511e-01,3.0736872e-01,1.1315471e+00,1.3327743e+00,1.6750143e+00,2.3387656e+00
1.1000000e+00,1.4915484e+01,7.7920681e+00,4.2295063e+00,1.9794392e+00,1.6006810e-01,2.2038975e-01,2.6558757e-01,2.9676336e-01,1.2305995e+00,1.4310175e+00,1.7722479e+00,2.4348053e+00
1.2000000e+00,1.5849936e+01,7.9309952e+00,4.2604055e+00,1.9804487e+00,1.4970885e-01,2.1289638e-01,2.5791701e-01,2.8914434e-01,1.3244727e+00,1.5199959e+00,1.8579601e+00,2.5175040e+00
1.3000000e+00,1.6000236e+01,7.9779677e+00,4.2722446e+00,1.9814835e+00,1.4483262e-01,2.0596251e-01,2.4983950e-01,2.8015504e-01,1.4229223e+00,1.6167302e+00,1.9526521e+00,2.6097620e+00
1.4000000e+00,1.7465239e+01,8.2099894e+00,4.3267845e+00,1.9844768e+00,1.3378920e-01,1.9860768e-01,2.4331518e-01,2.7456280e-01,1.5154369e+00,1.7020763e+00,2.0327262e+00,2.6851455e+00
1.5000000e+00,1.7844896e+01,8.2634148e+00,4.3469323e+00,1.9874250e+00,1.2923878e-01,1.9284833e-01,2.3602565e-01,2.6651921e-01,1.6134513e+00,1.7983079e+00,2.1268619e+00,2.7761358e+00
1.6000000e+00,1.9144951e+01,8.4526971e+00,4.3972001e+00,1.9924273e+00,1.2129243e-01,1.8660819e-01,2.2975878e-01,2.6067015e-01,1.7080351e+00,1.8876175e+00,2.2117057e+00,2.8562264e+00
1.7000000e+00,2.0984378e+01,8.6881767e+00,4.4551639e+00,1.9979448e+00,1.1314479e-01,1.8030569e-01,2.2397773e-01,2.5547728e-01,1.8026733e+00,1.9759508e+00,2.2948102e+00,2.9341193e+00
1.8000000e+00,2.1717838e+01,8.8346131e+00,4.4984831e+00,2.0041631e+00,1.0876091e-01,1.7474485e-01,2.1787780e-01,2.4928007e-01,1.9000798e+00,2.0700145e+00,2.3849800e+00,3.0196004e+00
1.9000000e+00,2.5160412e+01,9.2404804e+00,4.5866263e+00,2.0123712e+00,9.9354437e-02,1.6785078e-01,2.1305447e-01,2.4582971e-01,1.9935020e+00,2.1545228e+00,2.4619413e+00,3.0898046e+00
2.0000000e+00,2.5010404e+01,9.3243361e+00,4.6184502e+00,2.0194191e+00,9.7748374e-02,1.6322367e-01,2.0720975e-01,2.3926627e-01,2.0930727e+00,2.2526726e+00,2.5571519e+00,3.1807741e+00
2.1000000e+00,2.9845886e+01,9.8962186e+00,4.7297915e+00,2.0301795e+00,8.8827312e-02,1.5577312e-01,2.0296076e-01,2.3680077e-01,2.1867654e+00,2.3363911e+00,2.6316278e+00,3.2473616e+00
2.2000000e+00,2.9472622e+01,9.9942034e+00,4.7651122e+00,2.0382948e+00,8.7884533e-02,1.5161087e-01,1.9759871e-01,2.3069564e-01,2.2868060e+00,2.4351602e+00,2.7273359e+00,3.3385823e+00
2.3000000e+00,3.3898494e+01,1.0544499e+01,4.8688001e+00,2.0504708e+00,8.1721240e-02,1.4507291e-01,1.9339402e-01,2.2768584e-01,2.3824794e+00,2.5232046e+00,2.8072442e+00,3.4109960e+00
2.4000000e+00,3.4485867e+01,1.0778746e+01,4.9214411e+00,2.0601867e+00,8.0230002e-02,1.4061362e-01,1.8868528e-01,2.2262063e-01,2.4821006e+00,2.6203317e+00,2.8999692e+00,3.4984120e+00
2.5000000e+00,3.8725105e+01,1.1312039e+01,5.0192745e+00,2.0733096e+00,7.5830569e-02,1.3499411e-01,1.8460343e-01,2.1930961e-01,2.5790318e+00,2.7114121e+00,2.9839346e+00,3.5752117e+00
2.6000000e+00,4.0969339e+01,1.1703611e+01,5.0916515e+00,2.0849531e+00,7.3704304e-02,1.3039077e-01,1.8040886e-01,2.1513962e-01,2.6779840e+00,2.8069807e+00,3.0740850e+00,3.6592577e+00
2.7000000e+00,4.1605427e+01,1.1893161e+01,5.1477505e+00,2.0975665e+00,7.2232048e-02,1.2711578e-01,1.7618939e-01,2.1045409e-01,2.7770615e+00,2.9042196e+00,3.1678430e+00,3.7477239e+00
2.8000000e+00,4.7963658e+01,1.2602857e+01,5.2557411e+00,2.1119327e+00,6.8701603e-02,1.2175881e-01,1.7258316e-01,2.0758631e-01,2.8747510e+00,2.9966244e+00,3.2528159e+00,3.8252280e+00
2.9000000e+00,4.5440210e+01,1.2554908e+01,5.2837656e+00,2.1238846e+00,6.8853340e-02,1.1981485e-01,1.6849399e-01,2.0232118e-01,2.9751392e+00,3.0973068e+00,3.3520377e+00,3.9203463e+00
3.0000000e+00,5.0000000e+01,1.3173190e+01,5.3849135e+00,2.1397147e+00,6.6375574e-02,1.1536764e-01,1.6501443e-01,1.9925246e-01,3.0731621e+00,3.1914842e+00,3.4399782e+00,4.0012998e+00
3.1000000e+00,4.9999987e+01,1.3293694e+01,5.4282125e+00,2.1525383e+00,6.5793822e-02,1.1306582e-01,1.6139198e-01,1.9479809e-01,3.1731662e+00,3.2907618e+00,3.5367376e+00,4.0933645e+00
3.2000000e+00,4.9999983e+01,1.3557136e+01,5.4945425e+00,2.1682643e+00,6.4968886e-02,1.1025899e-01,1.5793350e-01,1.9092381e-01,3.2723427e+00,3.3885368e+00,3.6309863e+00,4.1821727e+00
3.3000000e+00,5.0000000e+01,1.3854242e+01,5.5568254e+00,2.1829444e+00,6.4543391e-02,1.0746769e-01,1.5460516e-01,1.8710735e-01,3.3720489e+00,3.4872361e+00,3.7261465e+00,4.2720377e+00
3.4000000e+00,5.0000000e+01,1.3941669e+01,5.6032851e+00,2.1977567e+00,6.3790962e-02,1.0558788e-01,1.5138292e-01,1.8311863e-01,3.4717177e+00,3.5861097e+00,3.8227906e+00,4.3640335e+00
3.5000000e+00,5.0000000e+01,1.4348909e+01,5.6807725e+00,2.2147353e+00,6.3295820e-02,1.0263208e-01,1.4831621e-01,1.7979379e-01,3.5710047e+00,3.6840873e+00,3.9167034e+00,4.4522581e+00
3.6000000e+00,5.0000000e+01,1.4401564e+01,5.7191164e+00,2.2289739e+00,6.2768463e-02,1.0104071e-01,1.4532844e-01,1.7593015e-01,3.6710268e+00,3.7836918e+00,4.0144472e+00,4.5456845e+00
3.7000000e+00,5.0000000e+01,1.4791716e+01,5.7965618e+00,2.2469462e+00,6.2226102e-02,9.8386776e-02,1.4248348e-01,1.7280180e-01,3.7702605e+00,3.8816736e+00,4.1086486e+00,4.6343505e+00
3.8000000e+00,5.0000000e+01,1.4920578e+01,5.8413622e+00,2.2621057e+00,6.1808964e-02,9.6683300e-02,1.3971806e-01,1.6928012e-01,3.8702253e+00,3.9812018e+00,4.2059942e+00,4.7272439e+00
3.9000000e+00,5.0000000e+01,1.5144270e+01,5.9048357e+00,2.2798665e+00,6.1163252e-02,9.4742303e-02,1.3705224e-01,1.6612954e-01,3.9696225e+00,4.0796141e+00,4.3016484e+00,4.8179491e+00
4.0000000e+00,5.0000000e+01,1.5467530e+01,5.9686163e+00,2.2970011e+00,6.0837541e-02,9.2606689e-02,1.3449658e-01,1.6309291e-01,4.0693033e+00,4.1785998e+00,4.3975778e+00,4.9089298e+00
4.1000000e+00,5.0000000e+01,1.5524128e+01,6.0129459e+00,2.3135014e+00,6.0263410e-02,9.1285138e-02,1.3199662e-01,1.5987161e-01,4.1690928e+00,4.2778639e+00,4.4950663e+00,5.0021636e+00
4.2000000e+00,5.0000000e+01,1.5930113e+01,6.0891763e+00,2.3326202e+00,5.9848639e-02,8.9073112e-02,1.2961876e-01,1.5717843e-01,4.2684747e+00,4.3762804e+00,4.5900979e+00,5.0920071e+00
4.3000000e+00,5.0000000e+01,1.6020269e+01,6.1321480e+00,2.3490073e+00,5.9458499e-02,8.7769162e-02,1.2728287e-01,1.5413156e-01,4.3684443e+00,4.4759493e+00,4.6879717e+00,5.1857441e+00
4.4000000e+00,5.0000000e+01,1.6290375e+01,6.1994035e+00,2.3682648e+00,5.8925233e-02,8.6046321e-02,1.2504304e-01,1.5147996e-01,4.4678718e+00,4.5744928e+00,4.7838387e+00,5.2768266e+00
4.5000000e+00,5.0000000e+01,1.6578718e+01,6.2591986e+00,2.3862393e+00,5.8647467e-02,8.4360398e-02,1.2287376e-01,1.4881845e-01,4.5676614e+00,4.6738235e+00,4.8806016e+00,5.3690515e+00
4.6000000e+00,5.0000000e+01,1.6656183e+01,6.3079432e+00,2.4041959e+00,5.8131310e-02,8.3203999e-02,1.2074855e-01,1.4609728e-01,4.6674047e+00,4.7730503e+00,4.9780949e+00,5.4624105e+00
4.7000000e+00,5.0000000e+01,1.7074935e+01,6.3831983e+00,2.4241902e+00,5.7804723e-02,8.1333795e-02,1.1872486e-01,1.4376520e-01,4.7669127e+00,4.8718132e+00,5.0738109e+00,5.5532660e+00
4.8000000e+00,5.0000000e+01,1.7117470e+01,6.4240847e+00,2.4412580e+00,5.7432333e-02,8.0334342e-02,1.1671776e-01,1.4111395e-01,4.8669032e+00,4.9715945e+00,5.1721165e+00,5.6477294e+00
4.9000000e+00,5.0000000e+01,1.7524784e+01,6.5003923e+00,2.4620007e+00,5.7062106e-02,7.8606875e-02,1.1481339e-01,1.3892300e-01,4.9663685e+00,5.0702775e+00,5.2678939e+00,5.7387428e+00
5.0000000e+00,5.0000000e+01,1.7668296e+01,6.5494589e+00,2.4798717e+00,5.6767641e-02,7.7471993e-02,1.1292387e-01,1.3650182e-01,5.0663179e+00,5.1700039e+00,5.3658247e+00,5.8326990e+00
5.1000000e+00,5.0000000e+01,1.7887784e+01,6.6129401e+00,2.5000767e+00,5.6309203e-02,7.6213708e-02,1.1110901e-01,1.3429419e-01,5.1658925e+00,5.2689137e+00,5.4626105e+00,5.9252031e+00
5.2000000e+00,5.0000000e+01,1.8260135e+01,6.6815429e+00,2.5199208e+00,5.6079923e-02,7.4724047e-02,1.0934205e-01,1.3220053e-01,5.2656455e+00,5.3682491e+00,5.5593916e+00,6.0175724e+00
5.3000000e+00,5.0000000e+01,1.8309421e+01,6.7290787e+00,2.5385865e+00,5.5665479e-02,7.3853536e-02,1.0760248e-01,1.2995313e-01,5.3654876e+00,5.4677458e+00,5.6574651e+00,6.1118860e+00
5.4000000e+00,5.0000000e+01,1.8762172e+01,6.8091798e+00,2.5602788e+00,5.5366284e-02,7.2308112e-02,1.0594249e-01,1.2807495e-01,5.4650386e+00,5.5666417e+00,5.7535809e+00,6.2034297e+00
